Date : 2025-04-20 17:19:58
Directory : c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]
Total : 1436 files,  206518 codes, 3377 comments, 17480 blanks, all 227375 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| qb-target (Files)                                                                                                                                 |          6 |      3,103 |         49 |        483 |      3,635 |
| qb-target\.github                                                                                                                                 |         10 |        253 |         11 |        116 |        380 |
| qb-target\.github (Files)                                                                                                                         |          4 |        142 |          6 |         85 |        233 |
| qb-target\.github\ISSUE_TEMPLATE                                                                                                                  |          4 |         68 |          0 |         26 |         94 |
| qb-target\.github\workflows                                                                                                                       |          2 |         43 |          5 |          5 |         53 |
| qb-target\data                                                                                                                                    |          2 |        190 |          0 |         15 |        205 |
| qb-target\html                                                                                                                                    |          3 |        205 |          3 |         25 |        233 |
| qb-target\html (Files)                                                                                                                            |          1 |         15 |          0 |          1 |         16 |
| qb-target\html\css                                                                                                                                |          1 |         74 |          3 |         11 |         88 |
| qb-target\html\js                                                                                                                                 |          1 |        116 |          0 |         13 |        129 |
| qb-taxijob                                                                                                                                        |         31 |      2,286 |         29 |        271 |      2,586 |
| qb-taxijob (Files)                                                                                                                                |          3 |        328 |          1 |         30 |        359 |
| qb-taxijob\.github                                                                                                                                |          7 |        223 |         11 |        103 |        337 |
| qb-taxijob\.github (Files)                                                                                                                        |          3 |        140 |          6 |         84 |        230 |
| qb-taxijob\.github\ISSUE_TEMPLATE                                                                                                                 |          2 |         40 |          0 |         14 |         54 |
| qb-taxijob\.github\workflows                                                                                                                      |          2 |         43 |          5 |          5 |         53 |
| qb-taxijob\client                                                                                                                                 |          1 |        811 |         16 |         73 |        900 |
| qb-taxijob\html                                                                                                                                   |          4 |        333 |          1 |         28 |        362 |
| qb-taxijob\locales                                                                                                                                |         15 |        546 |          0 |         30 |        576 |
| qb-taxijob\server                                                                                                                                 |          1 |         45 |          0 |          7 |         52 |
| qb-towjob                                                                                                                                         |         22 |      1,263 |         18 |        181 |      1,462 |
| qb-towjob (Files)                                                                                                                                 |          3 |         96 |          0 |         15 |        111 |
| qb-towjob\.github                                                                                                                                 |          7 |        223 |         11 |        103 |        337 |
| qb-towjob\.github (Files)                                                                                                                         |          3 |        140 |          6 |         84 |        230 |
| qb-towjob\.github\ISSUE_TEMPLATE                                                                                                                  |          2 |         40 |          0 |         14 |         54 |
| qb-towjob\.github\workflows                                                                                                                       |          2 |         43 |          5 |          5 |         53 |
| qb-towjob\client                                                                                                                                  |          1 |        410 |          6 |         37 |        453 |
| qb-towjob\locales                                                                                                                                 |         10 |        451 |          1 |         20 |        472 |
| qb-towjob\server                                                                                                                                  |          1 |         83 |          0 |          6 |         89 |
| qb-truckrobbery                                                                                                                                   |         12 |        761 |         26 |        153 |        940 |
| qb-truckrobbery (Files)                                                                                                                           |          3 |         45 |          0 |         10 |         55 |
| qb-truckrobbery\.github                                                                                                                           |          7 |        222 |         11 |        105 |        338 |
| qb-truckrobbery\.github (Files)                                                                                                                   |          3 |        139 |          6 |         86 |        231 |
| qb-truckrobbery\.github\ISSUE_TEMPLATE                                                                                                            |          2 |         40 |          0 |         14 |         54 |
| qb-truckrobbery\.github\workflows                                                                                                                 |          2 |         43 |          5 |          5 |         53 |
| qb-truckrobbery\client                                                                                                                            |          1 |        434 |         12 |         30 |        476 |
| qb-truckrobbery\server                                                                                                                            |          1 |         60 |          3 |          8 |         71 |
| qb-vehiclekeys                                                                                                                                    |         27 |      1,907 |         60 |        281 |      2,248 |
| qb-vehiclekeys (Files)                                                                                                                            |          3 |        126 |         11 |         23 |        160 |
| qb-vehiclekeys\.github                                                                                                                            |          7 |        223 |         11 |        103 |        337 |
| qb-vehiclekeys\.github (Files)                                                                                                                    |          3 |        140 |          6 |         84 |        230 |
| qb-vehiclekeys\.github\ISSUE_TEMPLATE                                                                                                             |          2 |         40 |          0 |         14 |         54 |
| qb-vehiclekeys\.github\workflows                                                                                                                  |          2 |         43 |          5 |          5 |         53 |
| qb-vehiclekeys\NUI                                                                                                                                |          3 |        172 |          0 |         20 |        192 |
| qb-vehiclekeys\client                                                                                                                             |          1 |        690 |         23 |         69 |        782 |
| qb-vehiclekeys\locales                                                                                                                            |         12 |        574 |          1 |         36 |        611 |
| qb-vehiclekeys\server                                                                                                                             |          1 |        122 |         14 |         30 |        166 |
| qb-vehiclesales                                                                                                                                   |         33 |      2,351 |         27 |        348 |      2,726 |
| qb-vehiclesales (Files)                                                                                                                           |          4 |        370 |          0 |         76 |        446 |
| qb-vehiclesales\.github                                                                                                                           |          7 |        223 |         11 |        103 |        337 |
| qb-vehiclesales\.github (Files)                                                                                                                   |          3 |        140 |          6 |         84 |        230 |
| qb-vehiclesales\.github\ISSUE_TEMPLATE                                                                                                            |          2 |         40 |          0 |         14 |         54 |
| qb-vehiclesales\.github\workflows                                                                                                                 |          2 |         43 |          5 |          5 |         53 |
| qb-vehiclesales\client                                                                                                                            |          1 |        418 |          7 |         46 |        471 |
| qb-vehiclesales\html                                                                                                                              |          5 |        506 |          6 |         81 |        593 |
| qb-vehiclesales\locales                                                                                                                           |         15 |        712 |          0 |         28 |        740 |
| qb-vehiclesales\server                                                                                                                            |          1 |        122 |          3 |         14 |        139 |
| qb-vehicleshop                                                                                                                                    |         22 |      2,856 |         55 |        236 |      3,147 |
| qb-vehicleshop (Files)                                                                                                                            |          6 |      1,896 |         27 |        116 |      2,039 |
| qb-vehicleshop\.github                                                                                                                            |          7 |        223 |         11 |        103 |        337 |
| qb-vehicleshop\.github (Files)                                                                                                                    |          3 |        140 |          6 |         84 |        230 |
| qb-vehicleshop\.github\ISSUE_TEMPLATE                                                                                                             |          2 |         40 |          0 |         14 |         54 |
| qb-vehicleshop\.github\workflows                                                                                                                  |          2 |         43 |          5 |          5 |         53 |
| qb-vehicleshop\locales                                                                                                                            |          9 |        737 |         17 |         17 |        771 |
| qb-vineyard                                                                                                                                       |         25 |      1,095 |         11 |        171 |      1,277 |
| qb-vineyard (Files)                                                                                                                               |          5 |        452 |          0 |         43 |        495 |
| qb-vineyard\.github                                                                                                                               |          7 |        223 |         11 |        103 |        337 |
| qb-vineyard\.github (Files)                                                                                                                       |          3 |        140 |          6 |         84 |        230 |
| qb-vineyard\.github\ISSUE_TEMPLATE                                                                                                                |          2 |         40 |          0 |         14 |         54 |
| qb-vineyard\.github\workflows                                                                                                                     |          2 |         43 |          5 |          5 |         53 |
| qb-vineyard\locales                                                                                                                               |         13 |        420 |          0 |         25 |        445 |
| qb-weapons                                                                                                                                        |         29 |      2,423 |         48 |        269 |      2,740 |
| qb-weapons (Files)                                                                                                                                |          3 |        658 |         16 |         33 |        707 |
| qb-weapons\.github                                                                                                                                |          7 |        223 |         11 |        103 |        337 |
| qb-weapons\.github (Files)                                                                                                                        |          3 |        140 |          6 |         84 |        230 |
| qb-weapons\.github\ISSUE_TEMPLATE                                                                                                                 |          2 |         40 |          0 |         14 |         54 |
| qb-weapons\.github\workflows                                                                                                                      |          2 |         43 |          5 |          5 |         53 |
| qb-weapons\client                                                                                                                                 |          3 |        679 |         13 |         61 |        753 |
| qb-weapons\locales                                                                                                                                |         15 |        554 |          0 |         25 |        579 |
| qb-weapons\server                                                                                                                                 |          1 |        309 |          8 |         47 |        364 |
| qb-weathersync                                                                                                                                    |         25 |      1,617 |         45 |        238 |      1,900 |
| qb-weathersync (Files)                                                                                                                            |          3 |        190 |          1 |         59 |        250 |
| qb-weathersync\.github                                                                                                                            |          7 |        223 |         11 |        103 |        337 |
| qb-weathersync\.github (Files)                                                                                                                    |          3 |        140 |          6 |         84 |        230 |
| qb-weathersync\.github\ISSUE_TEMPLATE                                                                                                             |          2 |         40 |          0 |         14 |         54 |
| qb-weathersync\.github\workflows                                                                                                                  |          2 |         43 |          5 |          5 |         53 |
| qb-weathersync\client                                                                                                                             |          1 |        104 |          0 |          9 |        113 |
| qb-weathersync\locales                                                                                                                            |         13 |        806 |          0 |         32 |        838 |
| qb-weathersync\server                                                                                                                             |          1 |        294 |         33 |         35 |        362 |
| qb-weed                                                                                                                                           |         20 |        899 |         12 |        167 |      1,078 |
| qb-weed (Files)                                                                                                                                   |          4 |        119 |          1 |         18 |        138 |
| qb-weed\.github                                                                                                                                   |          7 |        223 |         11 |        103 |        337 |
| qb-weed\.github (Files)                                                                                                                           |          3 |        140 |          6 |         84 |        230 |
| qb-weed\.github\ISSUE_TEMPLATE                                                                                                                    |          2 |         40 |          0 |         14 |         54 |
| qb-weed\.github\workflows                                                                                                                         |          2 |         43 |          5 |          5 |         53 |
| qb-weed\client                                                                                                                                    |          1 |        231 |          0 |         20 |        251 |
| qb-weed\locales                                                                                                                                   |          7 |        225 |          0 |         12 |        237 |
| qb-weed\server                                                                                                                                    |          1 |        101 |          0 |         14 |        115 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\.github\ISSUE_TEMPLATE\bug_report.md           | Markdown   |         25 |          0 |          8 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\.github\ISSUE_TEMPLATE\feature-request.md      | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\.github\auto_assign.yml                        | YAML       |          7 |          6 |          4 |         17 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\.github\contributing.md                        | Markdown   |        125 |          0 |         77 |        202 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\.github\pull_request_template.md               | Markdown   |          8 |          0 |          3 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\.github\workflows\lint.yml                     | YAML       |         23 |          0 |          1 |         24 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\.github\workflows\stale.yml                    | YAML       |         20 |          5 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\README.md                                      | Markdown   |         15 |          0 |          7 |         22 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\client\blipsnames.lua                          | Lua        |        211 |         18 |         10 |        239 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\client\client.lua                              | Lua        |      1,114 |         46 |         96 |      1,256 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\client\entity_view.lua                         | Lua        |        392 |          6 |         55 |        453 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\client\events.lua                              | Lua        |        140 |          2 |         21 |        163 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\client\noclip.lua                              | Lua        |        248 |          4 |         39 |        291 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\entityhashes\entity.lua                        | Lua        |     53,901 |          0 |          1 |     53,902 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\fxmanifest.lua                                 | Lua        |         30 |          0 |          7 |         37 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\html\index.html                                | HTML       |          1 |          0 |          0 |          1 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\html\index.js                                  | JavaScript |         11 |          0 |          2 |         13 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\ar.lua                                 | Lua        |        269 |          0 |          2 |        271 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\da.lua                                 | Lua        |        271 |          0 |          2 |        273 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\de.lua                                 | Lua        |        280 |          0 |          2 |        282 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\en.lua                                 | Lua        |        277 |          0 |          2 |        279 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\es.lua                                 | Lua        |        278 |          0 |          2 |        280 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\fi.lua                                 | Lua        |        270 |          0 |          2 |        272 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\fr.lua                                 | Lua        |        278 |          0 |          2 |        280 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\it.lua                                 | Lua        |        271 |          0 |          2 |        273 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\nl.lua                                 | Lua        |        278 |          0 |          2 |        280 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\pt-br.lua                              | Lua        |        278 |          0 |          2 |        280 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\pt.lua                                 | Lua        |        278 |          0 |          2 |        280 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\ro.lua                                 | Lua        |        281 |          2 |          2 |        285 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\sv.lua                                 | Lua        |        226 |          0 |          2 |        228 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\tr.lua                                 | Lua        |        278 |          0 |          2 |        280 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\locales\vi.lua                                 | Lua        |        278 |          0 |          2 |        280 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-adminmenu\server\server.lua                              | Lua        |        487 |          6 |         52 |        545 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\.github\ISSUE_TEMPLATE\bug_report.md        | Markdown   |         25 |          0 |          8 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\.github\ISSUE_TEMPLATE\feature-request.md   | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\.github\auto_assign.yml                     | YAML       |          7 |          6 |          4 |         17 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\.github\contributing.md                     | Markdown   |        125 |          0 |         77 |        202 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\.github\pull_request_template.md            | Markdown   |          8 |          0 |          3 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\.github\workflows\lint.yml                  | YAML       |         23 |          0 |          1 |         24 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\.github\workflows\stale.yml                 | YAML       |         20 |          5 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\README.md                                   | Markdown   |         29 |          0 |         10 |         39 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\client\dead.lua                             | Lua        |        207 |          3 |         21 |        231 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\client\job.lua                              | Lua        |        602 |          3 |         37 |        642 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\client\laststand.lua                        | Lua        |        150 |          2 |         14 |        166 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\client\main.lua                             | Lua        |        886 |          9 |        112 |      1,007 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\client\wounding.lua                         | Lua        |        216 |          3 |         21 |        240 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\config.lua                                  | Lua        |        395 |         53 |         28 |        476 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\fxmanifest.lua                              | Lua        |         26 |          0 |          4 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\ar.lua                              | Lua        |        136 |          0 |          2 |        138 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\da.lua                              | Lua        |        135 |          0 |          2 |        137 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\de.lua                              | Lua        |        135 |          0 |          2 |        137 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\en.lua                              | Lua        |        132 |          0 |          2 |        134 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\es.lua                              | Lua        |        135 |          0 |          2 |        137 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\fi.lua                              | Lua        |        136 |          0 |          2 |        138 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\fr.lua                              | Lua        |        135 |          0 |          2 |        137 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\is.lua                              | Lua        |        135 |          0 |          2 |        137 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\it.lua                              | Lua        |        135 |          0 |          2 |        137 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\ja.lua                              | Lua        |        135 |          0 |          2 |        137 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\nl.lua                              | Lua        |        135 |          0 |          2 |        137 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\pt-br.lua                           | Lua        |        135 |          0 |          1 |        136 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\pt.lua                              | Lua        |        136 |          0 |          2 |        138 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\sk.lua                              | Lua        |        136 |          0 |          2 |        138 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\locales\vn.lua                              | Lua        |        135 |          0 |          2 |        137 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-ambulancejob\server\main.lua                             | Lua        |        427 |          7 |         50 |        484 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\.github\ISSUE_TEMPLATE\bug_report.md          | Markdown   |         25 |          0 |          8 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\.github\ISSUE_TEMPLATE\feature-request.md     | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\.github\auto_assign.yml                       | YAML       |          7 |          6 |          5 |         18 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\.github\contributing.md                       | Markdown   |        125 |          0 |         77 |        202 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\.github\pull_request_template.md              | Markdown   |          8 |          0 |          3 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\.github\workflows\lint.yml                    | YAML       |         23 |          0 |          1 |         24 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\.github\workflows\stale.yml                   | YAML       |         20 |          5 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\README.md                                     | Markdown   |         95 |          0 |         14 |        109 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\client\main.lua                               | Lua        |        671 |         15 |        103 |        789 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\config.lua                                    | Lua        |         90 |          0 |          1 |         91 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\fxmanifest.lua                                | Lua        |         28 |          0 |          5 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\bg.lua                                | Lua        |         34 |          0 |          1 |         35 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\cs.lua                                | Lua        |         32 |          0 |          2 |         34 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\da.lua                                | Lua        |         32 |          0 |          2 |         34 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\de.lua                                | Lua        |         34 |          0 |          2 |         36 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\en.lua                                | Lua        |         31 |          0 |          1 |         32 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\es.lua                                | Lua        |         34 |          0 |          2 |         36 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\fi.lua                                | Lua        |         32 |          0 |          2 |         34 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\fr.lua                                | Lua        |         34 |          0 |          2 |         36 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\ge.lua                                | Lua        |         32 |          0 |          2 |         34 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\nl.lua                                | Lua        |         34 |          0 |          2 |         36 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\pt-br.lua                             | Lua        |         34 |          0 |          2 |         36 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\pt.lua                                | Lua        |         34 |          0 |          2 |         36 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\sv.lua                                | Lua        |         34 |          0 |          2 |         36 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\tr.lua                                | Lua        |         32 |          0 |          2 |         34 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\locales\vn.lua                                | Lua        |         33 |          0 |          2 |         35 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\qb-apartments.sql                             | MS SQL     |         10 |          0 |          0 |         10 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-apartments\server\main.lua                               | Lua        |        204 |          3 |         30 |        237 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-banking\.github\ISSUE_TEMPLATE\bug_report.md             | Markdown   |         25 |          0 |          8 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-banking\.github\ISSUE_TEMPLATE\feature-request.md        | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-banking\.github\auto_assign.yml                          | YAML       |          7 |          6 |          4 |         17 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-banking\.github\contributing.md                          | Markdown   |        125 |          0 |         77 |        202 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-banking\.github\pull_request_template.md                 | Markdown   |          8 |          0 |          3 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-banking\.github\workflows\lint.yml                       | YAML       |         23 |          0 |          1 |         24 |
